Vuosi,Kk,Pv,Klo,Aikavyöhyke,Lumensyvyys (cm)
1993,4,29,00:00,UTC,54
1993,4,30,00:00,UTC,48
1993,5,1,00:00,UTC,40
1993,5,2,00:00,UTC,38
1993,5,3,00:00,UTC,32
1993,5,4,00:00,UTC,16
1993,5,5,00:00,UTC,9
1993,5,6,00:00,UTC,3
1993,5,7,00:00,UTC,1
1993,5,8,00:00,UTC,0
1993,5,9,00:00,UTC,0
1993,5,10,00:00,UTC,0
1993,5,11,00:00,UTC,-1
1993,5,12,00:00,UTC,-1
1993,5,13,00:00,UTC,-1
1993,5,14,00:00,UTC,-1
1993,5,15,00:00,UTC,-1
1993,5,16,00:00,UTC,-1
1993,5,17,00:00,UTC,-1
1993,5,18,00:00,UTC,-1
1993,5,19,00:00,UTC,-1
1993,5,20,00:00,UTC,-1
1993,5,21,00:00,UTC,-1
1993,5,22,00:00,UTC,-1
1993,5,23,00:00,UTC,-1
1993,5,24,00:00,UTC,-1
1993,5,25,00:00,UTC,-1
1993,5,26,00:00,UTC,-1
1993,5,27,00:00,UTC,-1
1993,5,28,00:00,UTC,-1
1993,5,29,00:00,UTC,-1
1993,5,30,00:00,UTC,-1
1993,5,31,00:00,UTC,-1
1993,6,1,00:00,UTC,-1
1993,6,2,00:00,UTC,-1
1993,6,3,00:00,UTC,-1
1993,6,4,00:00,UTC,-1
1993,6,5,00:00,UTC,-1
1993,6,6,00:00,UTC,-1
1993,6,7,00:00,UTC,-1
1993,6,8,00:00,UTC,-1
1993,6,9,00:00,UTC,-1
1993,6,10,00:00,UTC,-1
1993,6,11,00:00,UTC,-1
1993,6,12,00:00,UTC,-1
1993,6,13,00:00,UTC,-1
1993,6,14,00:00,UTC,-1
1993,6,15,00:00,UTC,-1
1993,6,16,00:00,UTC,-1
1993,6,17,00:00,UTC,-1
1993,6,18,00:00,UTC,-1
1993,6,19,00:00,UTC,-1
1993,6,20,00:00,UTC,-1
1993,6,21,00:00,UTC,-1
1993,6,22,00:00,UTC,-1
1993,6,23,00:00,UTC,-1
1993,6,24,00:00,UTC,-1
1993,6,25,00:00,UTC,-1
1993,6,26,00:00,UTC,-1
1993,6,27,00:00,UTC,-1
1993,6,28,00:00,UTC,-1
1993,6,29,00:00,UTC,-1
1993,6,30,00:00,UTC,-1
1993,7,1,00:00,UTC,-1
1993,7,2,00:00,UTC,-1
1993,7,3,00:00,UTC,-1
1993,7,4,00:00,UTC,-1
1993,7,5,00:00,UTC,-1
1993,7,6,00:00,UTC,-1
1993,7,7,00:00,UTC,-1
1993,7,8,00:00,UTC,-1
1993,7,9,00:00,UTC,-1
1993,7,10,00:00,UTC,-1
1993,7,11,00:00,UTC,-1
1993,7,12,00:00,UTC,-1
1993,7,13,00:00,UTC,-1
1993,7,14,00:00,UTC,-1
1993,7,15,00:00,UTC,-1
1993,7,16,00:00,UTC,-1
1993,7,17,00:00,UTC,-1
1993,7,18,00:00,UTC,-1
1993,7,19,00:00,UTC,-1
1993,7,20,00:00,UTC,-1
1993,7,21,00:00,UTC,-1
1993,7,22,00:00,UTC,-1
1993,7,23,00:00,UTC,-1
1993,7,24,00:00,UTC,-1
1993,7,25,00:00,UTC,-1
1993,7,26,00:00,UTC,-1
1993,7,27,00:00,UTC,-1
1993,7,28,00:00,UTC,-1
1993,7,29,00:00,UTC,-1
1993,7,30,00:00,UTC,-1
1993,7,31,00:00,UTC,-1
1993,8,1,00:00,UTC,-1
1993,8,2,00:00,UTC,-1
1993,8,3,00:00,UTC,-1
1993,8,4,00:00,UTC,-1
1993,8,5,00:00,UTC,-1
1993,8,6,00:00,UTC,-1
1993,8,7,00:00,UTC,-1
1993,8,8,00:00,UTC,-1
1993,8,9,00:00,UTC,-1
1993,8,10,00:00,UTC,-1
1993,8,11,00:00,UTC,-1
1993,8,12,00:00,UTC,-1
1993,8,13,00:00,UTC,-1
1993,8,14,00:00,UTC,-1
1993,8,15,00:00,UTC,-1
1993,8,16,00:00,UTC,-1
1993,8,17,00:00,UTC,-1
1993,8,18,00:00,UTC,-1
1993,8,19,00:00,UTC,-1
1993,8,20,00:00,UTC,-1
1993,8,21,00:00,UTC,-1
1993,8,22,00:00,UTC,-1
1993,8,23,00:00,UTC,-1
1993,8,24,00:00,UTC,-1
1993,8,25,00:00,UTC,-1
1993,8,26,00:00,UTC,-1
1993,8,27,00:00,UTC,-1
1993,8,28,00:00,UTC,-1
1993,8,29,00:00,UTC,-1
1993,8,30,00:00,UTC,-1
1993,8,31,00:00,UTC,-1
1993,9,1,00:00,UTC,-1
1993,9,2,00:00,UTC,-1
1993,9,3,00:00,UTC,-1
1993,9,4,00:00,UTC,-1
1993,9,5,00:00,UTC,-1
1993,9,6,00:00,UTC,-1
1993,9,7,00:00,UTC,-1
1993,9,8,00:00,UTC,-1
1993,9,9,00:00,UTC,-1
1993,9,10,00:00,UTC,-1
1993,9,11,00:00,UTC,-1
1993,9,12,00:00,UTC,-1
1993,9,13,00:00,UTC,-1
1993,9,14,00:00,UTC,-1
1993,9,15,00:00,UTC,-1
1993,9,16,00:00,UTC,-1
1993,9,17,00:00,UTC,-1
1993,9,18,00:00,UTC,-1
1993,9,19,00:00,UTC,-1
1993,9,20,00:00,UTC,-1
1993,9,21,00:00,UTC,-1
1993,9,22,00:00,UTC,-1
1993,9,23,00:00,UTC,-1
1993,9,24,00:00,UTC,-1
1993,9,25,00:00,UTC,-1
1993,9,26,00:00,UTC,-1
1993,9,27,00:00,UTC,-1
1993,9,28,00:00,UTC,-1
1993,9,29,00:00,UTC,-1
1993,9,30,00:00,UTC,-1
1993,10,1,00:00,UTC,-1
1993,10,2,00:00,UTC,-1
1993,10,3,00:00,UTC,-1
1993,10,4,00:00,UTC,-1
1993,10,5,00:00,UTC,-1
1993,10,6,00:00,UTC,-1
1993,10,7,00:00,UTC,-1
1993,10,8,00:00,UTC,-1
1993,10,9,00:00,UTC,-1
1993,10,10,00:00,UTC,-1
1993,10,11,00:00,UTC,-1
1993,10,12,00:00,UTC,-1
1993,10,13,00:00,UTC,-1
1993,10,14,00:00,UTC,8
1993,10,15,00:00,UTC,8
1993,10,16,00:00,UTC,15
1993,10,17,00:00,UTC,15
1993,10,18,00:00,UTC,11
1993,10,19,00:00,UTC,13
1993,10,20,00:00,UTC,12
1993,10,21,00:00,UTC,12
1993,10,22,00:00,UTC,12
1993,10,23,00:00,UTC,13
1993,10,24,00:00,UTC,11
1993,10,25,00:00,UTC,12
1993,10,26,00:00,UTC,12
1993,10,27,00:00,UTC,13
1993,10,28,00:00,UTC,11
1993,10,29,00:00,UTC,10
1993,10,30,00:00,UTC,10
1993,10,31,00:00,UTC,10
1993,11,1,00:00,UTC,12
1993,11,2,00:00,UTC,12
1993,11,3,00:00,UTC,10
1993,11,4,00:00,UTC,12
1993,11,5,00:00,UTC,13
1993,11,6,00:00,UTC,13
1993,11,7,00:00,UTC,13
1993,11,8,00:00,UTC,13
1993,11,9,00:00,UTC,13
1993,11,10,00:00,UTC,12
1993,11,11,00:00,UTC,18
1993,11,12,00:00,UTC,17
1993,11,13,00:00,UTC,15
1993,11,14,00:00,UTC,17
1993,11,15,00:00,UTC,18
1993,11,16,00:00,UTC,18
1993,11,17,00:00,UTC,19
1993,11,18,00:00,UTC,19
1993,11,19,00:00,UTC,19
1993,11,20,00:00,UTC,19
1993,11,21,00:00,UTC,19
1993,11,22,00:00,UTC,18
1993,11,23,00:00,UTC,18
1993,11,24,00:00,UTC,18
1993,11,25,00:00,UTC,19
1993,11,26,00:00,UTC,25
1993,11,27,00:00,UTC,25
1993,11,28,00:00,UTC,25
1993,11,29,00:00,UTC,25
1993,11,30,00:00,UTC,25
1993,12,1,00:00,UTC,26
1993,12,2,00:00,UTC,26
1993,12,3,00:00,UTC,26
1993,12,4,00:00,UTC,24
1993,12,5,00:00,UTC,26
1993,12,6,00:00,UTC,30
1993,12,7,00:00,UTC,35
1993,12,8,00:00,UTC,35
1993,12,9,00:00,UTC,40
1993,12,10,00:00,UTC,46
1993,12,11,00:00,UTC,47
1993,12,12,00:00,UTC,47
1993,12,13,00:00,UTC,46
1993,12,14,00:00,UTC,48
1993,12,15,00:00,UTC,48
1993,12,16,00:00,UTC,52
1993,12,17,00:00,UTC,50
1993,12,18,00:00,UTC,52
1993,12,19,00:00,UTC,52
1993,12,20,00:00,UTC,53
1993,12,21,00:00,UTC,55
1993,12,22,00:00,UTC,57
1993,12,23,00:00,UTC,57
1993,12,24,00:00,UTC,57
1993,12,25,00:00,UTC,57
1993,12,26,00:00,UTC,57
1993,12,27,00:00,UTC,60
1993,12,28,00:00,UTC,60
1993,12,29,00:00,UTC,60
1993,12,30,00:00,UTC,60
1993,12,31,00:00,UTC,60
1994,1,1,00:00,UTC,60
1994,1,2,00:00,UTC,62
1994,1,3,00:00,UTC,66
1994,1,4,00:00,UTC,66
1994,1,5,00:00,UTC,65
1994,1,6,00:00,UTC,65
1994,1,7,00:00,UTC,68
1994,1,8,00:00,UTC,67
1994,1,9,00:00,UTC,75
1994,1,10,00:00,UTC,70
1994,1,11,00:00,UTC,70
1994,1,12,00:00,UTC,70
1994,1,13,00:00,UTC,74
1994,1,14,00:00,UTC,76
1994,1,15,00:00,UTC,79
1994,1,16,00:00,UTC,73
1994,1,17,00:00,UTC,72
1994,1,18,00:00,UTC,72
1994,1,19,00:00,UTC,72
